#EEP	M/Mo	LogTeff	LogG	LogL/Lo	sdss_u	sdss_g	sdss_r	sdss_i	sdss_z
61	0.579055	3.7064	4.7091	-0.7296	8.6579	7.1978	6.5715	6.3525	6.2520
62	0.583601	3.7095	4.7050	-0.7097	8.5516	7.1306	6.5175	6.3037	6.2072
63	0.588089	3.7125	4.7009	-0.6899	8.4477	7.0652	6.4647	6.2560	6.1633
64	0.592522	3.7155	4.6966	-0.6706	8.3470	7.0014	6.4130	6.2091	6.1202
65	0.596888	3.7184	4.6922	-0.6514	8.2507	6.9392	6.3625	6.1632	6.0778
66	0.601187	3.7212	4.6877	-0.6325	8.1586	6.8787	6.3131	6.1184	6.0364
67	0.605422	3.7240	4.6832	-0.6139	8.0699	6.8195	6.2648	6.0744	5.9957
68	0.609591	3.7267	4.6785	-0.5956	7.9839	6.7617	6.2175	6.0313	5.9558
69	0.613699	3.7292	4.6737	-0.5775	7.9009	6.7050	6.1710	5.9891	5.9166
70	0.617736	3.7318	4.6689	-0.5597	7.8206	6.6494	6.1254	5.9477	5.8783
71	0.621711	3.7342	4.6640	-0.5421	7.7433	6.5950	6.0807	5.9071	5.8406
72	0.625618	3.7366	4.6590	-0.5248	7.6687	6.5416	6.0368	5.8672	5.8036
73	0.629460	3.7390	4.6540	-0.5078	7.5965	6.4893	5.9938	5.8281	5.7673
74	0.633237	3.7412	4.6489	-0.4909	7.5265	6.4381	5.9515	5.7895	5.7315
75	0.636950	3.7434	4.6437	-0.4743	7.4585	6.3882	5.9100	5.7515	5.6961
76	0.640598	3.7456	4.6384	-0.4579	7.3926	6.3396	5.8693	5.7141	5.6611
77	0.644180	3.7477	4.6331	-0.4419	7.3285	6.2918	5.8294	5.6774	5.6268
78	0.647709	3.7497	4.6275	-0.4260	7.2665	6.2450	5.7900	5.6412	5.5929
79	0.651163	3.7517	4.6222	-0.4103	7.2063	6.1991	5.7514	5.6057	5.5596
80	0.654556	3.7536	4.6167	-0.3949	7.1479	6.1541	5.7135	5.5707	5.5268
81	0.657887	3.7554	4.6110	-0.3798	7.0913	6.1100	5.6761	5.5364	5.4944
82	0.662637	3.7580	4.6027	-0.3580	7.0115	6.0471	5.6227	5.4870	5.4481
83	0.667361	3.7605	4.5941	-0.3362	6.9337	5.9846	5.5693	5.4375	5.4014
84	0.672055	3.7631	4.5853	-0.3144	6.8571	5.9225	5.5160	5.3881	5.3547
85	0.676717	3.7655	4.5764	-0.2926	6.7819	5.8605	5.4626	5.3384	5.3078
86	0.681342	3.7680	4.5672	-0.2707	6.7079	5.7987	5.4091	5.2888	5.2610
87	0.685927	3.7703	4.5579	-0.2489	6.6351	5.7372	5.3558	5.2392	5.2140
88	0.690462	3.7728	4.5484	-0.2270	6.5629	5.6757	5.3026	5.1896	5.1672
89	0.694947	3.7751	4.5389	-0.2051	6.4913	5.6146	5.2496	5.1402	5.1203
90	0.699372	3.7775	4.5292	-0.1833	6.4206	5.5536	5.1966	5.0908	5.0736
91	0.703733	3.7799	4.5195	-0.1613	6.3510	5.4926	5.1435	5.0414	5.0267
92	0.708019	3.7822	4.5096	-0.1396	6.2827	5.4320	5.0904	4.9918	4.9799
93	0.712210	3.7844	4.4996	-0.1178	6.2158	5.3719	5.0376	4.9425	4.9331
94	0.716302	3.7867	4.4893	-0.0962	6.1504	5.3122	4.9851	4.8934	4.8865
95	0.720283	3.7888	4.4789	-0.0748	6.0864	5.2533	4.9330	4.8447	4.8403
96	0.724149	3.7909	4.4683	-0.0536	6.0239	5.1951	4.8814	4.7963	4.7943
97	0.727900	3.7929	4.4575	-0.0325	5.9627	5.1377	4.8304	4.7483	4.7485
98	0.731537	3.7948	4.4465	-0.0117	5.9029	5.0812	4.7798	4.7007	4.7030
99	0.735064	3.7966	4.4353	0.0089	5.8444	5.0254	4.7296	4.6532	4.6575
100	0.738478	3.7984	4.4238	0.0293	5.7871	4.9703	4.6800	4.6062	4.6124
101	0.741789	3.8000	4.4121	0.0495	5.7309	4.9158	4.6307	4.5595	4.5676
102	0.744998	3.8015	4.4002	0.0695	5.6754	4.8618	4.5821	4.5135	4.5234
103	0.748112	3.8031	4.3880	0.0895	5.6208	4.8083	4.5338	4.4678	4.4795
104	0.751132	3.8044	4.3756	0.1091	5.5673	4.7555	4.4860	4.4223	4.4357
105	0.754057	3.8057	4.3630	0.1286	5.5147	4.7031	4.4384	4.3770	4.3919
106	0.756892	3.8069	4.3502	0.1480	5.4632	4.6515	4.3910	4.3317	4.3482
107	0.759647	3.8081	4.3372	0.1672	5.4129	4.6004	4.3437	4.2863	4.3043
108	0.762329	3.8092	4.3239	0.1862	5.3635	4.5499	4.2966	4.2409	4.2602
109	0.764947	3.8102	4.3104	0.2053	5.3148	4.5000	4.2496	4.1956	4.2161
110	0.767507	3.8111	4.2967	0.2241	5.2668	4.4504	4.2030	4.1503	4.1719
111	0.770014	3.8119	4.2827	0.2428	5.2195	4.4013	4.1564	4.1053	4.1279
112	0.770765	3.8122	4.2785	0.2486	5.2048	4.3861	4.1421	4.0913	4.1143
113	0.771513	3.8125	4.2743	0.2545	5.1899	4.3706	4.1275	4.0772	4.1005
114	0.772259	3.8128	4.2700	0.2603	5.1748	4.3550	4.1129	4.0632	4.0868
115	0.773001	3.8132	4.2658	0.2663	5.1596	4.3391	4.0981	4.0489	4.0730
116	0.773743	3.8135	4.2617	0.2724	5.1442	4.3232	4.0831	4.0345	4.0590
117	0.774483	3.8139	4.2574	0.2784	5.1287	4.3070	4.0681	4.0201	4.0450
118	0.775220	3.8142	4.2531	0.2845	5.1131	4.2907	4.0530	4.0055	4.0309
119	0.775956	3.8145	4.2486	0.2907	5.0975	4.2743	4.0378	3.9908	4.0166
120	0.776688	3.8148	4.2440	0.2970	5.0818	4.2579	4.0223	3.9759	4.0020
121	0.777415	3.8151	4.2391	0.3034	5.0661	4.2412	4.0066	3.9606	3.9872
122	0.778139	3.8154	4.2339	0.3098	5.0502	4.2246	3.9907	3.9451	3.9719
123	0.778859	3.8155	4.2285	0.3162	5.0342	4.2077	3.9746	3.9294	3.9564
124	0.779575	3.8157	4.2231	0.3228	5.0182	4.1908	3.9583	3.9134	3.9406
125	0.780287	3.8158	4.2175	0.3294	5.0019	4.1737	3.9418	3.8972	3.9246
126	0.780994	3.8159	4.2117	0.3360	4.9857	4.1565	3.9251	3.8808	3.9084
127	0.781696	3.8161	4.2058	0.3428	4.9692	4.1391	3.9082	3.8642	3.8919
128	0.782396	3.8161	4.1997	0.3496	4.9528	4.1217	3.8913	3.8474	3.8752
129	0.783093	3.8162	4.1935	0.3564	4.9361	4.1041	3.8741	3.8304	3.8584
130	0.783784	3.8163	4.1871	0.3634	4.9195	4.0866	3.8568	3.8132	3.8412
131	0.784473	3.8163	4.1807	0.3703	4.9028	4.0688	3.8393	3.7958	3.8240
132	0.785156	3.8163	4.1741	0.3773	4.8859	4.0509	3.8217	3.7783	3.8063
133	0.785835	3.8162	4.1672	0.3844	4.8689	4.0330	3.8038	3.7604	3.7885
134	0.786508	3.8161	4.1601	0.3916	4.8520	4.0151	3.7858	3.7423	3.7703
135	0.787175	3.8160	4.1528	0.3988	4.8349	3.9971	3.7675	3.7239	3.7518
136	0.787836	3.8159	4.1454	0.4060	4.8176	3.9790	3.7491	3.7054	3.7331
137	0.788490	3.8157	4.1375	0.4133	4.8005	3.9608	3.7305	3.6865	3.7140
138	0.789138	3.8155	4.1296	0.4208	4.7831	3.9426	3.7117	3.6674	3.6946
139	0.789779	3.8152	4.1215	0.4282	4.7657	3.9242	3.6926	3.6480	3.6749
140	0.790413	3.8149	4.1130	0.4357	4.7482	3.9059	3.6735	3.6283	3.6549
141	0.791038	3.8145	4.1043	0.4434	4.7307	3.8875	3.6540	3.6084	3.6346
142	0.791655	3.8141	4.0953	0.4510	4.7132	3.8690	3.6344	3.5882	3.6138
143	0.792262	3.8136	4.0860	0.4586	4.6956	3.8505	3.6146	3.5678	3.5929
144	0.792862	3.8131	4.0765	0.4665	4.6782	3.8320	3.5948	3.5471	3.5716
145	0.793451	3.8125	4.0666	0.4743	4.6608	3.8135	3.5748	3.5263	3.5500
146	0.794029	3.8118	4.0563	0.4822	4.6436	3.7950	3.5546	3.5052	3.5281
147	0.794598	3.8111	4.0458	0.4901	4.6264	3.7765	3.5342	3.4837	3.5058
148	0.795154	3.8102	4.0347	0.4981	4.6094	3.7581	3.5137	3.4620	3.4832
149	0.795700	3.8093	4.0233	0.5062	4.5926	3.7398	3.4930	3.4400	3.4602
150	0.796233	3.8083	4.0115	0.5142	4.5760	3.7216	3.4722	3.4178	3.4367
151	0.796755	3.8072	3.9992	0.5224	4.5596	3.7036	3.4512	3.3952	3.4129
152	0.797262	3.8060	3.9864	0.5305	4.5433	3.6857	3.4300	3.3723	3.3885
153	0.797758	3.8047	3.9731	0.5388	4.5272	3.6682	3.4087	3.3489	3.3636
154	0.798239	3.8032	3.9592	0.5469	4.5116	3.6509	3.3873	3.3254	3.3384
155	0.798708	3.8016	3.9448	0.5552	4.4965	3.6338	3.3659	3.3016	3.3127
156	0.799162	3.7998	3.9298	0.5635	4.4822	3.6171	3.3444	3.2776	3.2867
157	0.799602	3.7980	3.9142	0.5718	4.4686	3.6007	3.3229	3.2533	3.2602
158	0.800030	3.7959	3.8981	0.5800	4.4560	3.5847	3.3013	3.2287	3.2333
159	0.800444	3.7938	3.8814	0.5883	4.4442	3.5690	3.2797	3.2040	3.2061
160	0.800847	3.7915	3.8643	0.5966	4.4329	3.5539	3.2583	3.1792	3.1787
161	0.801237	3.7889	3.8461	0.6047	4.4231	3.5398	3.2370	3.1541	3.1507
162	0.801562	3.7853	3.8248	0.6116	4.4219	3.5322	3.2185	3.1300	3.1222
163	0.801884	3.7814	3.8024	0.6186	4.4231	3.5257	3.1993	3.1047	3.0924
164	0.802205	3.7772	3.7790	0.6255	4.4277	3.5202	3.1803	3.0793	3.0621
165	0.802526	3.7733	3.7566	0.6326	4.4326	3.5137	3.1613	3.0542	3.0327
166	0.802848	3.7702	3.7368	0.6399	4.4344	3.5053	3.1419	3.0296	3.0043
167	0.803169	3.7673	3.7178	0.6473	4.4352	3.4959	3.1222	3.0051	2.9762
168	0.803486	3.7642	3.6980	0.6549	4.4369	3.4866	3.1024	2.9803	2.9479
169	0.803796	3.7611	3.6780	0.6629	4.4380	3.4763	3.0820	2.9552	2.9192
170	0.804099	3.7581	3.6578	0.6715	4.4385	3.4648	3.0605	2.9292	2.8897
171	0.804389	3.7554	3.6378	0.6806	4.4372	3.4513	3.0377	2.9021	2.8595
172	0.804665	3.7528	3.6181	0.6903	4.4337	3.4357	3.0134	2.8738	2.8282
173	0.804924	3.7506	3.5987	0.7006	4.4274	3.4180	2.9878	2.8446	2.7963
174	0.805168	3.7485	3.5799	0.7115	4.4180	3.3981	2.9610	2.8147	2.7640
175	0.805398	3.7468	3.5616	0.7227	4.4057	3.3764	2.9332	2.7843	2.7314
176	0.805616	3.7452	3.5439	0.7342	4.3913	3.3533	2.9048	2.7533	2.6986
177	0.805823	3.7437	3.5267	0.7460	4.3748	3.3290	2.8756	2.7221	2.6657
178	0.806023	3.7425	3.5099	0.7579	4.3566	3.3038	2.8461	2.6906	2.6327
179	0.806215	3.7414	3.4934	0.7700	4.3372	3.2778	2.8162	2.6589	2.5998
180	0.806401	3.7404	3.4773	0.7822	4.3172	3.2515	2.7860	2.6269	2.5664
181	0.806582	3.7395	3.4613	0.7946	4.2962	3.2247	2.7555	2.5948	2.5332
182	0.806782	3.7385	3.4438	0.8084	4.2715	3.1940	2.7211	2.5587	2.4958
183	0.806980	3.7377	3.4263	0.8226	4.2457	3.1624	2.6860	2.5220	2.4581
184	0.807177	3.7369	3.4088	0.8370	4.2185	3.1300	2.6504	2.4850	2.4200
185	0.807373	3.7361	3.3913	0.8515	4.1903	3.0968	2.6142	2.4476	2.3817
186	0.807568	3.7354	3.3740	0.8661	4.1613	3.0631	2.5779	2.4100	2.3432
187	0.807762	3.7348	3.3566	0.8810	4.1314	3.0288	2.5411	2.3721	2.3045
188	0.807956	3.7342	3.3393	0.8960	4.1008	2.9940	2.5041	2.3340	2.2655
189	0.808149	3.7336	3.3220	0.9110	4.0697	2.9590	2.4668	2.2957	2.2265
190	0.808342	3.7330	3.3048	0.9262	4.0381	2.9235	2.4294	2.2573	2.1875
191	0.808535	3.7325	3.2876	0.9413	4.0060	2.8876	2.3918	2.2189	2.1484
192	0.808726	3.7319	3.2703	0.9566	3.9735	2.8514	2.3538	2.1801	2.1089
193	0.808916	3.7314	3.2529	0.9721	3.9402	2.8146	2.3154	2.1409	2.0692
194	0.809107	3.7309	3.2354	0.9878	3.9063	2.7774	2.2766	2.1015	2.0291
195	0.809295	3.7305	3.2177	1.0037	3.8724	2.7399	2.2374	2.0615	1.9886
196	0.809483	3.7300	3.2000	1.0197	3.8376	2.7017	2.1978	2.0212	1.9477
197	0.809670	3.7295	3.1822	1.0359	3.8025	2.6633	2.1580	1.9806	1.9064
198	0.809855	3.7291	3.1644	1.0520	3.7669	2.6246	2.1178	1.9399	1.8652
199	0.810036	3.7287	3.1458	1.0688	3.7301	2.5844	2.0763	1.8976	1.8224
200	0.810212	3.7282	3.1265	1.0864	3.6914	2.5423	2.0327	1.8533	1.7775
201	0.810381	3.7277	3.1064	1.1045	3.6519	2.4990	1.9878	1.8077	1.7312
202	0.810546	3.7273	3.0860	1.1232	3.6111	2.4545	1.9418	1.7609	1.6838
203	0.810708	3.7268	3.0650	1.1422	3.5695	2.4090	1.8947	1.7131	1.6354
204	0.810864	3.7263	3.0436	1.1618	3.5269	2.3624	1.8464	1.6640	1.5857
205	0.811016	3.7258	3.0217	1.1816	3.4834	2.3150	1.7972	1.6141	1.5351
206	0.811164	3.7252	2.9994	1.2019	3.4393	2.2667	1.7472	1.5632	1.4836
207	0.811307	3.7246	2.9766	1.2224	3.3952	2.2179	1.6964	1.5115	1.4311
208	0.811446	3.7239	2.9533	1.2432	3.3508	2.1685	1.6450	1.4590	1.3777
209	0.811582	3.7233	2.9296	1.2645	3.3058	2.1184	1.5926	1.4057	1.3236
210	0.811712	3.7227	2.9055	1.2860	3.2605	2.0678	1.5397	1.3517	1.2686
211	0.811840	3.7220	2.8810	1.3077	3.2148	2.0166	1.4861	1.2970	1.2131
212	0.811963	3.7213	2.8564	1.3297	3.1686	1.9648	1.4320	1.2417	1.1569
213	0.812081	3.7205	2.8313	1.3519	3.1223	1.9126	1.3772	1.1858	1.1000
214	0.812197	3.7198	2.8060	1.3744	3.0756	1.8598	1.3219	1.1293	1.0425
215	0.812308	3.7191	2.7804	1.3970	3.0288	1.8068	1.2661	1.0722	0.9845
216	0.812415	3.7183	2.7544	1.4199	2.9824	1.7535	1.2099	1.0146	0.9259
217	0.812434	3.7181	2.7495	1.4241	2.9746	1.7441	1.1996	1.0041	0.9150
218	0.812453	3.7180	2.7448	1.4283	2.9658	1.7343	1.1893	0.9935	0.9043
219	0.812472	3.7179	2.7402	1.4325	2.9566	1.7241	1.1789	0.9829	0.8935
220	0.812491	3.7178	2.7354	1.4367	2.9476	1.7141	1.1684	0.9722	0.8827
221	0.812510	3.7176	2.7306	1.4410	2.9392	1.7043	1.1579	0.9615	0.8718
222	0.812529	3.7175	2.7258	1.4453	2.9305	1.6943	1.1475	0.9508	0.8609
223	0.812547	3.7173	2.7209	1.4496	2.9218	1.6843	1.1369	0.9399	0.8498
224	0.812566	3.7171	2.7157	1.4539	2.9139	1.6746	1.1263	0.9291	0.8386
225	0.812584	3.7169	2.7107	1.4582	2.9058	1.6649	1.1158	0.9181	0.8275
226	0.812602	3.7167	2.7057	1.4625	2.8970	1.6547	1.1051	0.9071	0.8163
227	0.812794	3.7152	2.6517	1.5104	2.8008	1.5438	0.9873	0.7865	0.6936
228	0.812957	3.7137	2.6016	1.5544	2.7134	1.4420	0.8788	0.6751	0.5800
229	0.813107	3.7121	2.5509	1.5989	2.6261	1.3396	0.7690	0.5622	0.4651
230	0.813248	3.7104	2.4990	1.6445	2.5375	1.2352	0.6568	0.4468	0.3475
231	0.813373	3.7088	2.4484	1.6882	2.4556	1.1363	0.5496	0.3363	0.2346
232	0.813490	3.7069	2.3969	1.7324	2.3728	1.0361	0.4416	0.2249	0.1207
233	0.813597	3.7050	2.3452	1.7767	2.2911	0.9363	0.3338	0.1136	0.0068
234	0.813693	3.7032	2.2946	1.8201	2.2121	0.8392	0.2287	0.0050	-0.1045
235	0.813782	3.7013	2.2433	1.8637	2.1339	0.7419	0.1230	-0.1042	-0.2166
236	0.813864	3.6993	2.1907	1.9084	2.0549	0.6434	0.0153	-0.2159	-0.3313
237	0.813937	3.6975	2.1424	1.9493	1.9817	0.5532	-0.0836	-0.3184	-0.4365
238	0.814005	3.6956	2.0958	1.9888	1.9121	0.4670	-0.1786	-0.4170	-0.5379
239	0.814067	3.6941	2.0532	2.0249	1.8490	0.3882	-0.2655	-0.5072	-0.6306
240	0.814126	3.6929	2.0203	2.0531	1.7997	0.3266	-0.3332	-0.5775	-0.7029
241	0.814183	3.6929	2.0184	2.0554	1.7917	0.3198	-0.3396	-0.5836	-0.7088
242	0.814244	3.6927	2.0046	2.0680	1.7656	0.2903	-0.3708	-0.6154	-0.7411
243	0.814302	3.6903	1.9503	2.1134	1.6933	0.1935	-0.4790	-0.7284	-0.8577
244	0.814355	3.6880	1.8945	2.1596	1.6250	0.0957	-0.5891	-0.8436	-0.9766
245	0.814403	3.6857	1.8414	2.2035	1.5638	0.0037	-0.6934	-0.9529	-1.0894
246	0.814447	3.6834	1.7904	2.2457	1.5082	-0.0835	-0.7929	-1.0574	-1.1975
247	0.814485	3.6814	1.7427	2.2849	1.4581	-0.1643	-0.8855	-1.1548	-1.2982
248	0.814522	3.6791	1.6923	2.3265	1.4055	-0.2493	-0.9832	-1.2576	-1.4046
249	0.814555	3.6769	1.6420	2.3680	1.3547	-0.3336	-1.0805	-1.3602	-1.5108
250	0.814586	3.6747	1.5920	2.4090	1.3065	-0.4164	-1.1766	-1.4615	-1.6158
251	0.814613	3.6725	1.5431	2.4492	1.2615	-0.4967	-1.2702	-1.5605	-1.7184
252	0.814638	3.6703	1.4955	2.4881	1.2215	-0.5731	-1.3603	-1.6561	-1.8178
253	0.814661	3.6681	1.4482	2.5263	1.1877	-0.6464	-1.4482	-1.7497	-1.9152
254	0.814683	3.6658	1.4019	2.5637	1.1573	-0.7171	-1.5338	-1.8410	-2.0105
255	0.814702	3.6636	1.3565	2.6001	1.1310	-0.7851	-1.6169	-1.9301	-2.1034
256	0.814719	3.6613	1.3121	2.6357	1.1084	-0.8500	-1.6972	-2.0163	-2.1936
257	0.814736	3.6591	1.2680	2.6708	1.0887	-0.9133	-1.7763	-2.1014	-2.2828
258	0.814751	3.6569	1.2249	2.7049	1.0725	-0.9738	-1.8527	-2.1840	-2.3695
259	0.814765	3.6546	1.1826	2.7384	1.0592	-1.0319	-1.9269	-2.2645	-2.4541
260	0.814778	3.6525	1.1410	2.7712	1.0494	-1.0879	-1.9991	-2.3431	-2.5368
261	0.814790	3.6503	1.1001	2.8035	1.0420	-1.1420	-2.0695	-2.4199	-2.6180
262	0.814802	3.6481	1.0599	2.8350	1.0378	-1.1935	-2.1378	-2.4947	-2.6970
263	0.814812	3.6460	1.0205	2.8658	1.0359	-1.2432	-2.2040	-2.5676	-2.7742
264	0.814822	3.6437	0.9812	2.8961	1.0406	-1.2894	-2.2679	-2.6384	-2.8497
265	0.814831	3.6415	0.9426	2.9258	1.0482	-1.3336	-2.3298	-2.7075	-2.9235
266	0.814839	3.6393	0.9051	2.9545	1.0576	-1.3753	-2.3893	-2.7741	-2.9948
267	0.814847	3.6372	0.8681	2.9829	1.0685	-1.4157	-2.4474	-2.8394	-3.0648
268	0.814854	3.6350	0.8316	3.0108	1.0801	-1.4551	-2.5045	-2.9037	-3.1338
269	0.814861	3.6329	0.7959	3.0381	1.0926	-1.4929	-2.5600	-2.9663	-3.2009
270	0.814868	3.6309	0.7610	3.0649	1.1055	-1.5295	-2.6140	-3.0273	-3.2665
271	0.814875	3.6289	0.7269	3.0911	1.1196	-1.5644	-2.6663	-3.0868	-3.3305
272	0.814880	3.6270	0.6936	3.1167	1.1340	-1.5981	-2.7173	-3.1447	-3.3930
273	0.814886	3.6251	0.6609	3.1419	1.1495	-1.6305	-2.7669	-3.2015	-3.4542
274	0.814891	3.6232	0.6290	3.1664	1.1653	-1.6616	-2.8150	-3.2566	-3.5137
275	0.814896	3.6214	0.5981	3.1904	1.1811	-1.6914	-2.8617	-3.3102	-3.5718
276	0.814900	3.6198	0.5676	3.2140	1.1968	-1.7206	-2.9076	-3.3629	-3.6288
277	0.814905	3.6182	0.5384	3.2367	1.2124	-1.7483	-2.9518	-3.4138	-3.6837
278	0.814909	3.6166	0.5100	3.2587	1.2282	-1.7747	-2.9943	-3.4631	-3.7371
279	0.814913	3.6151	0.4840	3.2790	1.2458	-1.7970	-3.0326	-3.5079	-3.7859
